"Reference","Value","Qty","DNP","Digikey Part #","Part #","Unit Price"
"C1,C4,C5,C6","0.1uF","4","","1276-1003-1-ND","CL21B104KBCNNNC","0.1"
"D1,D2,D3,D4","LTST-C170KRKT","4","","160-1415-1-ND","LTST-C170KRKT","0.32"
"H1,H2,H3,H4","M3","4","","","",""
"J3","Red  Banana Plug","1","","36-575-8-ND","575-8","0.88"
"J4","Black Banana Plug","1","","36-575-8-ND","575-8","0.88"
"Q1,Q2,Q3,Q4,Q12,Q14,Q15,Q16","2N7002","8","","2N7002NCT-ND","2N7002","0.45"
"R1,R2,R3,R4,R6,R7,R8,R42","10k","8","","311-10.0KCRCT-ND","RC0805FR-0710KL","0.1"
"R5,R39,R40,R41","10k+/-0.1%","4","","YAG1763CT-ND","RT0805BRD0710KL","0.16"
"R9,R10,R11,R12,R32,R33,R34,R35","1k","8","","RMCF0805FT1K00CT-ND","RMCF0805FT1K00","0.1"
"R13,R14,R15,R16,R17,R18,R19,R20,R28,R29,R30,R31","649","12","","RMCF0805FT649RCT-ND","RMCF0805FT649R","0.1"
"R36","1.62k","1","","RMCF0805FT1K62CT-ND","RMCF0805FT1K62","0.1"
"R37","511k+/-0.1%","1","","P511KDACT-ND","ERA-6AEB5113V","0.13"
"R38","1.5M+/-0.1%","1","","408-2025-1-ND","RG2012P-155-B-T5","0.1"
"S1","GF-161-0005","1","","CWI359-ND","GF-161-0005","1.97"
"SW1","GF-123-0054","1","","CWI333-ND","GF-123-0054","1.5"
"TP1,TP2,TP3","4952","3","","36-4952-ND","4952","0.26"
"U1","SC0915","1","","2648-SC0915CT-ND","SC0915","4.00"
"U3","OPA4388IDR","1","","296-53511-1-ND","OPA4388IDR","4.92"
"U4","CC56-12SURKWA","1","","754-CC56-12SURKWA-ND","CC56-12SURKWA","6.38"
"U5","MCP23008-xSO","1","","MCP23008-E/SO-ND","MCP23008-E/SO","1.37"
"U7","LM4030-2.5","1","","LM4030CMF-2.5/NOPBCT-ND","LM4030CMF-2.5/NOPB","1.61"
"U10","MCP3561","1","","150-MCP3561RT-E/STCT-ND","MCP3561RT-E/ST","3.00"
