Reference,Value,Qty,Digikey Part #,Part #,Unit Price,Price,Carted
"C4,C5,C6",0.1uF,3,1276-1003-1-ND,CL21B104KBCNNNC,0.1,0.3,T
"D1,D2,D3,D4",LTST-C170KRKT,4,160-1415-1-ND,LTST-C170KRKT,0.32,1.28,T
J3,Red  Banana Plug,1,36-575-8-ND,575-8,0.88,0.88,T
J4,Black Banana Plug,1,36-575-8-ND,575-8,0.88,0.88,T
"Q1,Q2,Q3,Q4,Q12,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24",2N7002,16,2N7002NCT-ND,2N7002,0.45,7.2,T
"Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q13",BSS84,8,BSS84CT-ND,BSS84,0.48,3.84,T
"R1,R2,R3,R4,R6,R22,R23,R24,R25,R26,R27,R42,R43,R44",10k,14,RMCF0805FT10K0CT-ND,RMCF0805FT10K0,0.1,1.4,T
"R5,R38,R39,R40,R41",10k+/-0.1%,5,P10KDACT-ND,ERA-6AEB103V,0.13,0.65,T
"R9,R10,R11,R12,R32,R33,R34,R35,R45,R46,R47,R48,R49,R50,R51,R52",1k,16,RMCF0805FT1K00CT-ND,RMCF0805FT1K00,0.1,1.6,T
"R13,R14,R15,R16,R17,R18,R19,R20,R28,R29,R30,R31",649,12,RMCF0805FT649RCT-ND,RMCF0805FT649R,0.1,1.2,T
R21,100k+/-0.1%,1,408-2025-1-ND,RG2012P-155-B-T5,0.1,0.1,T
R36,1.62k,1,RMCF0805FT1K62CT-ND,RMCF0805FT1K62,0.1,0.1,T
R37,511k+/-0.1%,1,P511KDACT-ND,ERA-6AEB5113V,0.13,0.13,T
SW1,GF-123-0054,1,CWI333-ND,GF-123-0054,1.5,1.5,T
SW2,GF-126-0159,1,SW342-ND,GF-126-0159,1.58,1.58,T
SW3,GF-161-0005,1,CWI359-ND,GF-161-0005,1.97,1.97,T
TP4,4952,1,36-4952-ND,4952,0.26,0.26,T
U1,SC0915,1,2648-SC0915CT-ND,SC0915,4,4,T
U3,OPA4388IDR,1,296-53511-1-ND,OPA4388IDR,4.92,4.92,T
U4,CC56-12SURKWA,1,754-CC56-12SURKWA-ND,CC56-12SURKWA,6.38,6.38,T
U7,LM4030-2.5,1,LM4030CMF-2.5/NOPBCT-ND,LM4030CMF-2.5/NOPB,1.61,1.61,T
U10,MCP3561,1,150-MCP3561RT-E/STCT-ND,MCP3561RT-E/ST,3,3,T
total:,,,,,,44.78,
